Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2420¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":312,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Program
2421¿VariableDeclarator¿¿4273¿_¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2422¿CallExpression¿¿4273¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2423¿Identifier¿¿4273¿require¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2424¿Literal¿string¿4273¿¿'underscore'¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2425¿VariableDeclarator¿¿4273¿v270¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2426¿CallExpression¿¿4273¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2427¿Identifier¿¿4273¿require¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2428¿Literal¿string¿4273¿¿'util'¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2429¿VariableDeclarator¿¿4273¿inherits¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2430¿MemberExpression¿¿4273¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿MemberExpression
2431¿Identifier¿¿4273¿v270¿¿¿¿¿Identifier
2432¿Identifier¿¿4273¿inherits¿¿¿{"start":{"line":2,"column":31},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2433¿VariableDeclarator¿¿4273¿v271¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2434¿CallExpression¿¿4273¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2435¿Identifier¿¿4273¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2436¿Literal¿string¿4273¿¿'child_process'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2437¿VariableDeclarator¿¿4273¿spawn¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2438¿MemberExpression¿¿4273¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿MemberExpression
2439¿Identifier¿¿4273¿v271¿¿¿¿¿Identifier
2440¿Identifier¿¿4273¿spawn¿¿¿{"start":{"line":3,"column":37},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2441¿VariableDeclarator¿¿4273¿path¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2442¿CallExpression¿¿4273¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2443¿Identifier¿¿4273¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2444¿Literal¿string¿4273¿¿'path'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2445¿VariableDeclarator¿¿4273¿fs¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2446¿CallExpression¿¿4273¿¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2447¿Identifier¿¿4273¿require¿¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2448¿Literal¿string¿4273¿¿'fs'¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2449¿VariableDeclarator¿¿4273¿v272¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2450¿CallExpression¿¿4273¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2451¿Identifier¿¿4273¿require¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2452¿Literal¿string¿4273¿¿'events'¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2453¿VariableDeclarator¿¿4273¿EventEmitter¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2454¿MemberExpression¿¿4273¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿MemberExpression
2455¿Identifier¿¿4273¿v272¿¿¿¿¿Identifier
2456¿Identifier¿¿4273¿EventEmitter¿¿¿{"start":{"line":6,"column":37},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2457¿VariableDeclarator¿¿4273¿PriestError¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2458¿CallExpression¿¿4273¿¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2459¿Identifier¿¿4273¿require¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2460¿Literal¿string¿4273¿¿'./error.js'¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2461¿VariableDeclarator¿¿4273¿async¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2462¿CallExpression¿¿4273¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2463¿Identifier¿¿4273¿require¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":19},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2464¿Literal¿string¿4273¿¿'async'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2465¿VariableDeclarator¿¿4273¿pack¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2466¿CallExpression¿¿4273¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2467¿Identifier¿¿4273¿require¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2468¿Literal¿string¿4273¿¿'../package.json'¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2469¿ExpressionStatement¿¿4273¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ExpressionStatement
2470¿AssignmentExpression¿=¿4273¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿AssignmentExpression
2471¿MemberExpression¿¿4273¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿MemberExpression
2472¿Identifier¿¿4273¿module¿¿¿{"start":{"line":11,"column":0},"end":{"line":11,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2473¿Identifier¿¿4273¿exports¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2474¿Identifier¿¿4273¿PriestController¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2475¿VariableDeclarator¿exported¿4273¿PriestController¿¿¿{"start":{"line":13,"column":0},"end":{"line":19,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2476¿FunctionExpression¿¿4273¿anon¿¿¿{"start":{"line":13,"column":0},"end":{"line":19,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿FunctionExpression
2477¿Identifier¿¿0¿options¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2478¿VariableDeclarator¿¿4275¿v273¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2479¿CallExpression¿¿4275¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿CallExpression
2480¿MemberExpression¿¿4275¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿MemberExpression
2481¿Identifier¿¿4275¿EventEmitter¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2482¿Identifier¿¿4275¿call¿¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2483¿ThisExpression¿¿4275¿¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ThisExpression
2484¿ExpressionStatement¿¿4275¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ExpressionStatement
2485¿Identifier¿¿4275¿v273¿¿¿¿¿Identifier
2486¿ExpressionStatement¿¿4275¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ExpressionStatement
2487¿AssignmentExpression¿=¿4275¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿AssignmentExpression
2488¿MemberExpression¿¿4275¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿MemberExpression
2489¿ThisExpression¿¿4275¿¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ThisExpression
2490¿Identifier¿¿4275¿id¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":11},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2491¿Literal¿number¿4275¿¿0¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Literal
2492¿ExpressionStatement¿¿4275¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ExpressionStatement
2493¿AssignmentExpression¿=¿4275¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿AssignmentExpression
2494¿MemberExpression¿¿4275¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿MemberExpression
2495¿ThisExpression¿¿4275¿¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":8},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ThisExpression
2496¿Identifier¿¿4275¿children¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿Identifier
2497¿ArrayExpression¿¿4275¿¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ArrayExpression
2498¿VariableDeclarator¿¿4275¿v274¿¿¿{"start":{"line":17,"column":28},"end":{"line":17,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2499¿ObjectExpression¿¿4275¿¿¿¿{"start":{"line":17,"column":28},"end":{"line":17,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ObjectExpression
2500¿VariableDeclarator¿¿4275¿v275¿¿¿{"start":{"line":17,"column":32},"end":{"line":17,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿VariableDeclarator
2501¿MemberExpression¿¿4275¿¿¿¿{"start":{"line":17,"column":32},"end":{"line":17,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿MemberExpression
2502¿ThisExpression¿¿4275¿¿¿¿{"start":{"line":17,"column":32},"end":{"line":17,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/1492/src/controller.js"}¿¿ThisExpression
