Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2057¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":277,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Program
2058¿ExpressionStatement¿¿3594¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿ExpressionStatement
2059¿Literal¿string¿3594¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Literal
2060¿VariableDeclarator¿¿3594¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿VariableDeclarator
2061¿CallExpression¿¿3594¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿CallExpression
2062¿Identifier¿¿3594¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Identifier
2063¿Literal¿string¿3594¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Literal
2064¿VariableDeclarator¿¿3594¿Command¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿VariableDeclarator
2065¿CallExpression¿¿3594¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿CallExpression
2066¿Identifier¿¿3594¿require¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Identifier
2067¿Literal¿string¿3594¿¿'../command'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Literal
2068¿VariableDeclarator¿¿3594¿v158¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿VariableDeclarator
2069¿CallExpression¿¿3594¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿CallExpression
2070¿Identifier¿¿3594¿require¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Identifier
2071¿Literal¿string¿3594¿¿'debug'¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Literal
2072¿VariableDeclarator¿¿3594¿debug¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿VariableDeclarator
2073¿CallExpression¿¿3594¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":50},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿CallExpression
2074¿Identifier¿¿3594¿v158¿¿¿¿¿Identifier
2075¿Literal¿string¿3594¿¿'egg-script:start'¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Literal
2076¿VariableDeclarator¿¿3594¿v159¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿VariableDeclarator
2077¿CallExpression¿¿3594¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿CallExpression
2078¿Identifier¿¿3594¿require¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Identifier
2079¿Literal¿string¿3594¿¿'mz/child_process'¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/694/src/start.js"}¿¿Literal
