Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
422¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":56,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Program
423¿VariableDeclarator¿¿719¿_¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿VariableDeclarator
424¿CallExpression¿¿719¿¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿CallExpression
425¿Identifier¿¿719¿require¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Identifier
426¿Literal¿string¿719¿¿'lodash'¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Literal
427¿VariableDeclarator¿¿719¿express¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿VariableDeclarator
428¿CallExpression¿¿719¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿CallExpression
429¿Identifier¿¿719¿require¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Identifier
430¿Literal¿string¿719¿¿'express'¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Literal
431¿VariableDeclarator¿¿719¿v38¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿VariableDeclarator
432¿CallExpression¿¿719¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿CallExpression
433¿Identifier¿¿719¿require¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Identifier
434¿Literal¿string¿719¿¿'child_process'¿¿{"start":{"line":3,"column":25},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Literal
435¿VariableDeclarator¿¿719¿exec¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿VariableDeclarator
436¿MemberExpression¿¿719¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿MemberExpression
437¿Identifier¿¿719¿v38¿¿¿¿¿Identifier
438¿Identifier¿¿719¿exec¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Identifier
439¿VariableDeclarator¿¿719¿v39¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿VariableDeclarator
440¿CallExpression¿¿719¿¿¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿CallExpression
441¿Identifier¿¿719¿require¿¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Identifier
442¿Literal¿string¿719¿¿'./authentication.js'¿¿{"start":{"line":4,"column":33},"end":{"line":4,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Literal
443¿VariableDeclarator¿¿719¿readAuthFile¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿VariableDeclarator
444¿MemberExpression¿¿719¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿MemberExpression
445¿Identifier¿¿719¿v39¿¿¿¿¿Identifier
446¿Identifier¿¿719¿readAuthFile¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿Identifier
447¿VariableDeclarator¿¿719¿authenticateUser¿¿¿{"start":{"line":9,"column":0},"end":{"line":12,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿VariableDeclarator
448¿FunctionExpression¿¿719¿anon¿¿¿{"start":{"line":9,"column":0},"end":{"line":12,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/954/src/server.js"}¿¿FunctionExpression
