Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2040¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":288,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Program
2041¿VariableDeclarator¿¿3477¿crypto¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿VariableDeclarator
2042¿CallExpression¿¿3477¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿CallExpression
2043¿Identifier¿¿3477¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Identifier
2044¿Literal¿string¿3477¿¿'crypto'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Literal
2045¿VariableDeclarator¿¿3477¿request¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿VariableDeclarator
2046¿CallExpression¿¿3477¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿CallExpression
2047¿Identifier¿¿3477¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Identifier
2048¿Literal¿string¿3477¿¿'request'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Literal
2049¿VariableDeclarator¿¿3477¿config¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿VariableDeclarator
2050¿CallExpression¿¿3477¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿CallExpression
2051¿Identifier¿¿3477¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Identifier
2052¿Literal¿string¿3477¿¿'../../config'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Literal
2053¿VariableDeclarator¿¿3477¿db¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿VariableDeclarator
2054¿CallExpression¿¿3477¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿CallExpression
2055¿Identifier¿¿3477¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Identifier
2056¿Literal¿string¿3477¿¿'./db'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿Literal
2057¿VariableDeclarator¿¿3477¿wxSign¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":36},"fname":"/datasets/vulcan-dataset/CWE-78/960/src/wx.js"}¿¿VariableDeclarator
