Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
708¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":144,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Program
709¿VariableDeclarator¿¿1224¿os¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
710¿CallExpression¿¿1224¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿CallExpression
711¿Identifier¿¿1224¿require¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
712¿Literal¿string¿1224¿¿'os'¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
713¿VariableDeclarator¿¿1224¿path¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
714¿CallExpression¿¿1224¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿CallExpression
715¿Identifier¿¿1224¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
716¿Literal¿string¿1224¿¿'path'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
717¿VariableDeclarator¿¿1224¿configUtil¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
718¿CallExpression¿¿1224¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿CallExpression
719¿Identifier¿¿1224¿require¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
720¿Literal¿string¿1224¿¿'./configUtil'¿¿{"start":{"line":8,"column":25},"end":{"line":8,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
721¿VariableDeclarator¿¿1224¿childProcess¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
722¿CallExpression¿¿1224¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿CallExpression
723¿Identifier¿¿1224¿require¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
724¿Literal¿string¿1224¿¿'child_process'¿¿{"start":{"line":10,"column":27},"end":{"line":10,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Literal
725¿VariableDeclarator¿¿1224¿platform¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
726¿CallExpression¿¿1224¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿CallExpression
727¿MemberExpression¿¿1224¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿MemberExpression
728¿Identifier¿¿1224¿os¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
729¿Identifier¿¿1224¿platform¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿Identifier
730¿VariableDeclarator¿¿1224¿v49¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿VariableDeclarator
731¿ObjectExpression¿¿1224¿¿¿¿¿¿ObjectExpression
732¿ExpressionStatement¿¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿ExpressionStatement
733¿AssignmentExpression¿=¿1224¿¿¿¿{"start":{"line":15,"column":12},"end":{"line":20,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-3hq6-rmv7-39vh/src/index.js"}¿¿AssignmentExpression
