Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
399¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":39,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿Program
400¿ExpressionStatement¿¿691¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿ExpressionStatement
401¿Literal¿string¿691¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿Literal
402¿VariableDeclarator¿¿691¿v34¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿VariableDeclarator
403¿CallExpression¿¿691¿¿¿¿{"start":{"line":3,"column":33},"end":{"line":3,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿CallExpression
404¿Identifier¿¿691¿require¿¿¿{"start":{"line":3,"column":33},"end":{"line":3,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿Identifier
405¿Literal¿string¿691¿¿'ramda'¿¿{"start":{"line":3,"column":41},"end":{"line":3,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿Literal
406¿VariableDeclarator¿¿691¿compose¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿VariableDeclarator
407¿MemberExpression¿¿691¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿MemberExpression
408¿Identifier¿¿691¿v34¿¿¿¿¿Identifier
409¿Identifier¿¿691¿compose¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿Identifier
410¿VariableDeclarator¿¿691¿map¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿VariableDeclarator
411¿MemberExpression¿¿691¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿MemberExpression
412¿Identifier¿¿691¿v34¿¿¿¿¿Identifier
413¿Identifier¿¿691¿map¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿Identifier
414¿VariableDeclarator¿¿691¿filter¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿VariableDeclarator
415¿MemberExpression¿¿691¿¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿MemberExpression
416¿Identifier¿¿691¿v34¿¿¿¿¿Identifier
417¿Identifier¿¿691¿filter¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-9v73-x562-wv5x/src/index.js"}¿¿Identifier
