Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
336¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":45,"column":2},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿Program
337¿VariableDeclarator¿¿564¿util¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿VariableDeclarator
338¿CallExpression¿¿564¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿CallExpression
339¿Identifier¿¿564¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿Identifier
340¿Literal¿string¿564¿¿'util'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿Literal
341¿VariableDeclarator¿¿564¿v27¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿VariableDeclarator
342¿CallExpression¿¿564¿¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿CallExpression
343¿Identifier¿¿564¿require¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿Identifier
344¿Literal¿string¿564¿¿'child_process'¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":55},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿Literal
345¿VariableDeclarator¿¿564¿v28¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":65},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿VariableDeclarator
346¿MemberExpression¿¿564¿¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":65},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿MemberExpression
347¿Identifier¿¿564¿v27¿¿¿¿¿Identifier
348¿Identifier¿¿564¿execFile¿¿¿{"start":{"line":2,"column":57},"end":{"line":2,"column":65},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿Identifier
349¿VariableDeclarator¿¿564¿execFile¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":66},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-chj3-f7xw-367m/src/index.js"}¿¿VariableDeclarator
