Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
915¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":71,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Program
916¿ExpressionStatement¿¿1589¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿ExpressionStatement
917¿Literal¿string¿1589¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Literal
918¿VariableDeclarator¿¿1589¿v95¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
919¿CallExpression¿¿1589¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿CallExpression
920¿Identifier¿¿1589¿require¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
921¿Literal¿string¿1589¿¿'child_process'¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":38},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Literal
922¿VariableDeclarator¿¿1589¿execSync¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
923¿MemberExpression¿¿1589¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿MemberExpression
924¿Identifier¿¿1589¿v95¿¿¿¿¿Identifier
925¿Identifier¿¿1589¿execSync¿¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿Identifier
926¿VariableDeclarator¿¿1589¿v96¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿VariableDeclarator
927¿CallExpression¿¿1589¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-cv76-rv4h-4mqc/src/index.js"}¿¿CallExpression
