Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1079¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":73,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Program
1080¿ExpressionStatement¿¿1835¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1081¿Literal¿string¿1835¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1082¿VariableDeclarator¿¿1835¿v109¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1083¿MemberExpression¿¿1835¿¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1084¿ThisExpression¿¿1835¿¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ThisExpression
1085¿Identifier¿¿1835¿__awaiter¿¿¿{"start":{"line":2,"column":30},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1086¿VariableDeclarator¿¿1835¿v110¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1087¿LogicalExpression¿&&¿1835¿¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿LogicalExpression
1088¿ThisExpression¿¿1835¿¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ThisExpression
1089¿Identifier¿¿1835¿v109¿¿¿¿¿Identifier
1090¿VariableDeclarator¿¿1835¿v133¿¿¿{"start":{"line":2,"column":44},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1091¿FunctionExpression¿¿1835¿anon¿¿¿{"start":{"line":2,"column":44},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1092¿Identifier¿¿0¿thisArg¿¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1093¿Identifier¿¿0¿_arguments¿¿¿{"start":{"line":2,"column":63},"end":{"line":2,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1094¿Identifier¿¿0¿P¿¿¿{"start":{"line":2,"column":75},"end":{"line":2,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1095¿Identifier¿¿0¿generator¿¿¿{"start":{"line":2,"column":78},"end":{"line":2,"column":87},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1096¿VariableDeclarator¿¿1837¿v111¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1097¿LogicalExpression¿||¿1837¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":34},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿LogicalExpression
1098¿Identifier¿¿1837¿P¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1099¿AssignmentExpression¿=¿1837¿¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿AssignmentExpression
1100¿Identifier¿¿1837¿P¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1101¿Identifier¿¿1837¿Promise¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1102¿VariableDeclarator¿¿1837¿v131¿¿¿{"start":{"line":3,"column":36},"end":{"line":8,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1103¿FunctionExpression¿¿1837¿anon¿¿¿{"start":{"line":3,"column":36},"end":{"line":8,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1104¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":3,"column":46},"end":{"line":3,"column":53},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1105¿Identifier¿¿0¿reject¿¿¿{"start":{"line":3,"column":55},"end":{"line":3,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1106¿VariableDeclarator¿¿1839¿fulfilled¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":99},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1107¿FunctionExpression¿¿1839¿anon¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":99},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1108¿Identifier¿¿0¿value¿¿¿{"start":{"line":4,"column":27},"end":{"line":4,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1109¿TryStatement¿¿1841¿¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":97},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿TryStatement
1110¿VariableDeclarator¿¿1841¿v112¿¿¿{"start":{"line":4,"column":47},"end":{"line":4,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1111¿CallExpression¿¿1841¿¿¿¿{"start":{"line":4,"column":47},"end":{"line":4,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1112¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":4,"column":47},"end":{"line":4,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1113¿Identifier¿¿1841¿generator¿¿¿{"start":{"line":4,"column":47},"end":{"line":4,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1114¿Identifier¿¿1841¿next¿¿¿{"start":{"line":4,"column":57},"end":{"line":4,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1115¿Identifier¿¿1841¿value¿¿¿{"start":{"line":4,"column":62},"end":{"line":4,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1116¿VariableDeclarator¿¿1841¿v113¿¿¿{"start":{"line":4,"column":42},"end":{"line":4,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1117¿CallExpression¿¿1841¿¿¿¿{"start":{"line":4,"column":42},"end":{"line":4,"column":69},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
