Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1381¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":236,"column":2},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿Program
1382¿VariableDeclarator¿¿2426¿Url¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿VariableDeclarator
1383¿CallExpression¿¿2426¿¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿CallExpression
1384¿Identifier¿¿2426¿require¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿Identifier
1385¿Literal¿string¿2426¿¿'url'¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿Literal
1386¿VariableDeclarator¿¿2426¿Async¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿VariableDeclarator
1387¿CallExpression¿¿2426¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿CallExpression
1388¿Identifier¿¿2426¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿Identifier
1389¿Literal¿string¿2426¿¿'async'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿Literal
1390¿VariableDeclarator¿¿2426¿Boom¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/1/src/batch.js"}¿¿VariableDeclarator
