Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
238¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":83,"column":36},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Program
239¿ExpressionStatement¿¿405¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿ExpressionStatement
240¿Literal¿string¿405¿¿'use strict'¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Literal
241¿VariableDeclarator¿¿405¿v18¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
242¿CallExpression¿¿405¿¿¿¿{"start":{"line":8,"column":33},"end":{"line":8,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿CallExpression
243¿Identifier¿¿405¿require¿¿¿{"start":{"line":8,"column":33},"end":{"line":8,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
244¿Literal¿string¿405¿¿'./common'¿¿{"start":{"line":8,"column":41},"end":{"line":8,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Literal
245¿VariableDeclarator¿¿405¿createContext¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
246¿MemberExpression¿¿405¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿MemberExpression
247¿Identifier¿¿405¿v18¿¿¿¿¿Identifier
248¿Identifier¿¿405¿createContext¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
249¿VariableDeclarator¿¿405¿allow¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
250¿MemberExpression¿¿405¿¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿MemberExpression
251¿Identifier¿¿405¿v18¿¿¿¿¿Identifier
252¿Identifier¿¿405¿allow¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
253¿VariableDeclarator¿exported¿405¿SaferEval¿¿¿{"start":{"line":19,"column":0},"end":{"line":51,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
254¿FunctionExpression¿¿405¿SaferEval¿¿¿{"start":{"line":23,"column":14},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿FunctionExpression
255¿Identifier¿¿0¿context¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
256¿VariableDeclarator¿¿407¿__context¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
257¿CallExpression¿¿407¿¿¿¿{"start":{"line":25,"column":22},"end":{"line":25,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿CallExpression
258¿Identifier¿¿407¿createContext¿¿¿{"start":{"line":25,"column":22},"end":{"line":25,"column":35},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
259¿VariableDeclarator¿¿407¿v19¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
260¿CallExpression¿¿407¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿CallExpression
261¿Identifier¿¿407¿allow¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":9},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
262¿Identifier¿¿407¿context¿¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
263¿Identifier¿¿407¿__context¿¿¿{"start":{"line":27,"column":19},"end":{"line":27,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
264¿ExpressionStatement¿¿407¿¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿ExpressionStatement
265¿Identifier¿¿407¿v19¿¿¿¿¿Identifier
266¿ExpressionStatement¿¿407¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿ExpressionStatement
267¿AssignmentExpression¿=¿407¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿AssignmentExpression
268¿MemberExpression¿¿407¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿MemberExpression
269¿ThisExpression¿¿407¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":8},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿ThisExpression
270¿Identifier¿¿407¿_context¿¿¿{"start":{"line":29,"column":9},"end":{"line":29,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
271¿Identifier¿¿407¿__context¿¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
272¿BlockStatement¿¿407¿¿¿¿{"start":{"line":23,"column":24},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿BlockStatement
273¿VariableDeclarator¿¿405¿runInContext¿¿¿{"start":{"line":19,"column":0},"end":{"line":51,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
274¿FunctionExpression¿¿405¿runInContext¿¿¿{"start":{"line":36,"column":15},"end":{"line":50,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿FunctionExpression
275¿Identifier¿¿0¿code¿¿¿{"start":{"line":36,"column":16},"end":{"line":36,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
276¿VariableDeclarator¿¿409¿v20¿¿¿{"start":{"line":37,"column":8},"end":{"line":37,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
277¿UnaryExpression¿typeof¿409¿¿¿¿{"start":{"line":37,"column":8},"end":{"line":37,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿UnaryExpression
278¿Identifier¿¿409¿code¿¿¿{"start":{"line":37,"column":15},"end":{"line":37,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
279¿VariableDeclarator¿¿409¿v21¿¿¿{"start":{"line":37,"column":8},"end":{"line":37,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
280¿BinaryExpression¿!==¿409¿¿¿¿{"start":{"line":37,"column":8},"end":{"line":37,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿BinaryExpression
281¿Identifier¿¿409¿v20¿¿¿¿¿Identifier
282¿Literal¿string¿409¿¿'string'¿¿{"start":{"line":37,"column":24},"end":{"line":37,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Literal
283¿IfStatement¿¿409¿¿¿¿{"start":{"line":37,"column":4},"end":{"line":39,"column":5},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿IfStatement
284¿Identifier¿¿409¿v21¿¿¿¿¿Identifier
285¿VariableDeclarator¿¿409¿v22¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":41},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿VariableDeclarator
286¿NewExpression¿¿409¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":41},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿NewExpression
287¿Identifier¿¿409¿TypeError¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/1021/src/browser.js"}¿¿Identifier
