Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2453¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":253,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Program
2454¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿ExpressionStatement
2455¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Literal
2456¿VariableDeclarator¿¿topLogPrefix¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿VariableDeclarator
2457¿Literal¿string¿¿'larvitbase-api: ./index.js: '¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":51},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Literal
2458¿VariableDeclarator¿¿ReqParser¿¿¿{"start":{"line":4,"column":1},"end":{"line":4,"column":39},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿VariableDeclarator
2459¿CallExpression¿¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":39},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿CallExpression
2460¿Identifier¿¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Identifier
2461¿Literal¿string¿¿'larvitreqparser'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":38},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Literal
2462¿VariableDeclarator¿¿Router¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿VariableDeclarator
2463¿CallExpression¿¿¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿CallExpression
2464¿Identifier¿¿require¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Identifier
2465¿Literal¿string¿¿'larvitrouter'¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":32},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Literal
2466¿VariableDeclarator¿¿semver¿¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿VariableDeclarator
2467¿CallExpression¿¿¿¿¿{"start":{"line":6,"column":10},"end":{"line":6,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿CallExpression
2468¿Identifier¿¿require¿¿¿{"start":{"line":6,"column":10},"end":{"line":6,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Identifier
2469¿Literal¿string¿¿'semver'¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Literal
2470¿VariableDeclarator¿¿LBase¿¿¿{"start":{"line":7,"column":1},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿VariableDeclarator
2471¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿CallExpression
2472¿Identifier¿¿require¿¿¿{"start":{"line":7,"column":9},"end":{"line":7,"column":16},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Identifier
2473¿Literal¿string¿¿'larvitbase'¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿Literal
2474¿VariableDeclarator¿¿path¿¿¿{"start":{"line":8,"column":1},"end":{"line":8,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/1120/src/index.js"}¿¿VariableDeclarator
