Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
8590¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":1387,"column":4},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Program
8591¿ExpressionStatement¿¿15321¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":13},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿ExpressionStatement
8592¿Literal¿string¿15321¿¿'use strict'¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":12},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Literal
8593¿VariableDeclarator¿¿15321¿v988¿¿¿{"start":{"line":10,"column":1},"end":{"line":23,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8594¿FunctionExpression¿¿15321¿anon¿¿¿{"start":{"line":10,"column":1},"end":{"line":23,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿FunctionExpression
8595¿Identifier¿¿0¿root¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8596¿Identifier¿¿0¿factory¿¿¿{"start":{"line":10,"column":17},"end":{"line":10,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8597¿VariableDeclarator¿¿15323¿v978¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8598¿UnaryExpression¿typeof¿15323¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿UnaryExpression
8599¿Identifier¿¿15323¿define¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8600¿VariableDeclarator¿¿15323¿v979¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8601¿BinaryExpression¿===¿15323¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BinaryExpression
8602¿Identifier¿¿15323¿v978¿¿¿¿¿Identifier
8603¿Literal¿string¿15323¿¿'function'¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Literal
8604¿VariableDeclarator¿¿15323¿v980¿¿¿{"start":{"line":11,"column":38},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8605¿MemberExpression¿¿15323¿¿¿¿{"start":{"line":11,"column":38},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8606¿Identifier¿¿15323¿define¿¿¿{"start":{"line":11,"column":38},"end":{"line":11,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8607¿Identifier¿¿15323¿amd¿¿¿{"start":{"line":11,"column":45},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8608¿VariableDeclarator¿¿15323¿v981¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8609¿LogicalExpression¿&&¿15323¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿LogicalExpression
8610¿Identifier¿¿15323¿v979¿¿¿¿¿Identifier
8611¿Identifier¿¿15323¿v980¿¿¿¿¿Identifier
8612¿IfStatement¿¿15323¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":22,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿IfStatement
8613¿Identifier¿¿15323¿v981¿¿¿¿¿Identifier
8614¿VariableDeclarator¿¿15323¿v982¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":13},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8615¿ArrayExpression¿¿15323¿¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":13},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿ArrayExpression
8616¿VariableDeclarator¿¿15323¿v983¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8617¿CallExpression¿¿15323¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿CallExpression
8618¿Identifier¿¿15323¿define¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":10},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8619¿Identifier¿¿15323¿v982¿¿¿¿¿Identifier
8620¿Identifier¿¿15323¿factory¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8621¿ExpressionStatement¿¿15323¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿ExpressionStatement
8622¿Identifier¿¿15323¿v983¿¿¿¿¿Identifier
8623¿BlockStatement¿¿15323¿¿¿¿{"start":{"line":11,"column":50},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BlockStatement
8624¿VariableDeclarator¿¿15323¿v984¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8625¿UnaryExpression¿typeof¿15323¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿UnaryExpression
8626¿Identifier¿¿15323¿exports¿¿¿{"start":{"line":14,"column":20},"end":{"line":14,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8627¿VariableDeclarator¿¿15323¿v985¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8628¿BinaryExpression¿===¿15323¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BinaryExpression
8629¿Identifier¿¿15323¿v984¿¿¿¿¿Identifier
8630¿Literal¿string¿15323¿¿'object'¿¿{"start":{"line":14,"column":32},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Literal
8631¿IfStatement¿¿15323¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":22,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿IfStatement
8632¿Identifier¿¿15323¿v985¿¿¿¿¿Identifier
8633¿VariableDeclarator¿¿15323¿v986¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8634¿CallExpression¿¿15323¿¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿CallExpression
8635¿Identifier¿¿15323¿factory¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8636¿ExpressionStatement¿¿15323¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿ExpressionStatement
8637¿AssignmentExpression¿=¿15323¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿AssignmentExpression
8638¿MemberExpression¿¿15323¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8639¿Identifier¿¿15323¿module¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":10},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8640¿Identifier¿¿15323¿exports¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8641¿Identifier¿¿15323¿v986¿¿¿¿¿Identifier
8642¿BlockStatement¿¿15323¿¿¿¿{"start":{"line":14,"column":42},"end":{"line":19,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BlockStatement
8643¿VariableDeclarator¿¿15323¿v987¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8644¿CallExpression¿¿15323¿¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿CallExpression
8645¿Identifier¿¿15323¿factory¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":24},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8646¿ExpressionStatement¿¿15323¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿ExpressionStatement
8647¿AssignmentExpression¿=¿15323¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿AssignmentExpression
8648¿MemberExpression¿¿15323¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":14},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8649¿Identifier¿¿15323¿root¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":8},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8650¿Identifier¿¿15323¿typed¿¿¿{"start":{"line":21,"column":9},"end":{"line":21,"column":14},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8651¿Identifier¿¿15323¿v987¿¿¿¿¿Identifier
8652¿BlockStatement¿¿15323¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":22,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BlockStatement
8653¿BlockStatement¿¿15323¿¿¿¿¿¿BlockStatement
8654¿BlockStatement¿¿15323¿¿¿¿{"start":{"line":10,"column":26},"end":{"line":23,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BlockStatement
8655¿VariableDeclarator¿¿15321¿v1953¿¿¿{"start":{"line":23,"column":8},"end":{"line":1387,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8656¿FunctionExpression¿¿15321¿anon¿¿¿{"start":{"line":23,"column":8},"end":{"line":1387,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿FunctionExpression
8657¿VariableDeclarator¿¿15327¿create¿¿¿{"start":{"line":26,"column":2},"end":{"line":1384,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8658¿FunctionExpression¿¿15327¿anon¿¿¿{"start":{"line":26,"column":2},"end":{"line":1384,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿FunctionExpression
8659¿VariableDeclarator¿¿15329¿getTypeTest¿¿¿{"start":{"line":33,"column":4},"end":{"line":57,"column":5},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8660¿FunctionExpression¿¿15329¿anon¿¿¿{"start":{"line":33,"column":4},"end":{"line":57,"column":5},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿FunctionExpression
8661¿Identifier¿¿0¿name¿¿¿{"start":{"line":33,"column":25},"end":{"line":33,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8662¿VariableDeclarator¿¿15331¿test¿¿¿{"start":{"line":34,"column":10},"end":{"line":34,"column":14},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8663¿VariableDeclarator¿¿15331¿i¿¿¿{"start":{"line":35,"column":15},"end":{"line":35,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8664¿Literal¿number¿15331¿¿0¿¿{"start":{"line":35,"column":19},"end":{"line":35,"column":20},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Literal
8665¿VariableDeclarator¿¿15331¿v989¿¿¿{"start":{"line":35,"column":26},"end":{"line":35,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8666¿MemberExpression¿¿15331¿¿¿¿{"start":{"line":35,"column":26},"end":{"line":35,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8667¿Identifier¿¿15331¿typed¿¿¿{"start":{"line":35,"column":26},"end":{"line":35,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8668¿Identifier¿¿15331¿types¿¿¿{"start":{"line":35,"column":32},"end":{"line":35,"column":37},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8669¿VariableDeclarator¿¿15331¿v990¿¿¿{"start":{"line":35,"column":26},"end":{"line":35,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8670¿MemberExpression¿¿15331¿¿¿¿{"start":{"line":35,"column":26},"end":{"line":35,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8671¿Identifier¿¿15331¿v989¿¿¿¿¿Identifier
8672¿Identifier¿¿15331¿length¿¿¿{"start":{"line":35,"column":38},"end":{"line":35,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8673¿VariableDeclarator¿¿15331¿v991¿¿¿{"start":{"line":35,"column":22},"end":{"line":35,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8674¿BinaryExpression¿<¿15331¿¿¿¿{"start":{"line":35,"column":22},"end":{"line":35,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BinaryExpression
8675¿Identifier¿¿15331¿i¿¿¿{"start":{"line":35,"column":22},"end":{"line":35,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8676¿Identifier¿¿15331¿v990¿¿¿¿¿Identifier
8677¿WhileStatement¿¿15331¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿WhileStatement
8678¿Identifier¿¿15331¿v991¿¿¿¿¿Identifier
8679¿VariableDeclarator¿¿15331¿v993¿¿¿{"start":{"line":36,"column":20},"end":{"line":36,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8680¿MemberExpression¿¿15331¿¿¿¿{"start":{"line":36,"column":20},"end":{"line":36,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8681¿Identifier¿¿15331¿typed¿¿¿{"start":{"line":36,"column":20},"end":{"line":36,"column":25},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8682¿Identifier¿¿15331¿types¿¿¿{"start":{"line":36,"column":26},"end":{"line":36,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8683¿VariableDeclarator¿¿15331¿entry¿¿¿{"start":{"line":36,"column":12},"end":{"line":36,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8684¿MemberExpression¿computed¿15331¿¿¿¿{"start":{"line":36,"column":20},"end":{"line":36,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8685¿Identifier¿¿15331¿v993¿¿¿¿¿Identifier
8686¿Identifier¿¿15331¿i¿¿¿{"start":{"line":36,"column":32},"end":{"line":36,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8687¿VariableDeclarator¿¿15331¿v994¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8688¿MemberExpression¿¿15331¿¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8689¿Identifier¿¿15331¿entry¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":17},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8690¿Identifier¿¿15331¿name¿¿¿{"start":{"line":37,"column":18},"end":{"line":37,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8691¿VariableDeclarator¿¿15331¿v995¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8692¿BinaryExpression¿===¿15331¿¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BinaryExpression
8693¿Identifier¿¿15331¿v994¿¿¿¿¿Identifier
8694¿Identifier¿¿15331¿name¿¿¿{"start":{"line":37,"column":27},"end":{"line":37,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8695¿IfStatement¿¿15331¿¿¿¿{"start":{"line":37,"column":8},"end":{"line":40,"column":9},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿IfStatement
8696¿Identifier¿¿15331¿v995¿¿¿¿¿Identifier
8697¿ExpressionStatement¿¿15331¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":28},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿ExpressionStatement
8698¿AssignmentExpression¿=¿15331¿¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿AssignmentExpression
8699¿Identifier¿¿15331¿test¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":14},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8700¿MemberExpression¿¿15331¿¿¿¿{"start":{"line":38,"column":17},"end":{"line":38,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿MemberExpression
8701¿Identifier¿¿15331¿entry¿¿¿{"start":{"line":38,"column":17},"end":{"line":38,"column":22},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8702¿Identifier¿¿15331¿test¿¿¿{"start":{"line":38,"column":23},"end":{"line":38,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8703¿BreakStatement¿¿15331¿¿¿¿{"start":{"line":39,"column":10},"end":{"line":39,"column":16},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BreakStatement
8704¿BlockStatement¿¿15331¿¿¿¿{"start":{"line":37,"column":33},"end":{"line":40,"column":9},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BlockStatement
8705¿VariableDeclarator¿¿15331¿v992¿¿¿{"start":{"line":35,"column":46},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8706¿UpdateExpression¿¿15331¿¿¿¿{"start":{"line":35,"column":46},"end":{"line":35,"column":49},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿UpdateExpression
8707¿Identifier¿¿15331¿i¿¿¿{"start":{"line":35,"column":46},"end":{"line":35,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8708¿ExpressionStatement¿¿15331¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿ExpressionStatement
8709¿AssignmentExpression¿=¿15331¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿AssignmentExpression
8710¿Identifier¿¿15331¿v991¿¿¿{"start":{"line":35,"column":6},"end":{"line":41,"column":7},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8711¿BinaryExpression¿<¿15331¿¿¿¿{"start":{"line":35,"column":22},"end":{"line":35,"column":44},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿BinaryExpression
8712¿Identifier¿¿15331¿i¿¿¿{"start":{"line":35,"column":22},"end":{"line":35,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8713¿Identifier¿¿15331¿v990¿¿¿¿¿Identifier
8714¿BlockStatement¿¿15331¿¿¿¿¿¿BlockStatement
8715¿VariableDeclarator¿¿15331¿v996¿¿¿{"start":{"line":43,"column":10},"end":{"line":43,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿VariableDeclarator
8716¿UnaryExpression¿!¿15331¿¿¿¿{"start":{"line":43,"column":10},"end":{"line":43,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿UnaryExpression
8717¿Identifier¿¿15331¿test¿¿¿{"start":{"line":43,"column":11},"end":{"line":43,"column":15},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿Identifier
8718¿IfStatement¿¿15331¿¿¿¿{"start":{"line":43,"column":6},"end":{"line":55,"column":7},"fname":"/datasets/vulcan-dataset/CWE-94/552/src/typed-function.js"}¿¿IfStatement
8719¿Identifier¿¿15331¿v996¿¿¿¿¿Identifier
