Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1929¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":144,"column":5},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿Program
1930¿VariableDeclarator¿¿3379¿v401¿¿¿{"start":{"line":5,"column":1},"end":{"line":144,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿VariableDeclarator
1931¿FunctionExpression¿¿3379¿anon¿¿¿{"start":{"line":5,"column":1},"end":{"line":144,"column":1},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿FunctionExpression
1932¿ExpressionStatement¿¿3381¿¿¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":14},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿ExpressionStatement
1933¿Literal¿string¿3381¿¿'use strict'¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":13},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿Literal
1934¿VariableDeclarator¿¿3381¿v202¿¿¿{"start":{"line":11,"column":20},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿VariableDeclarator
1935¿ObjectExpression¿¿3381¿¿¿¿¿¿ObjectExpression
1936¿ExpressionStatement¿¿3381¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿ExpressionStatement
1937¿AssignmentExpression¿=¿3381¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿AssignmentExpression
1938¿MemberExpression¿¿3381¿¿¿¿{"start":{"line":11,"column":20},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-297x-8xj4-vcxv/src/doT.js"}¿¿MemberExpression
1939¿Identifier¿¿3381¿v202¿¿¿¿¿Identifier
