Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
656¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":84,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Program
657¿VariableDeclarator¿¿1118¿chalk¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
658¿CallExpression¿¿1118¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
659¿Identifier¿¿1118¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
660¿Literal¿string¿1118¿¿'chalk'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Literal
661¿VariableDeclarator¿¿1118¿cl¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
662¿CallExpression¿¿1118¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":31},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
663¿Identifier¿¿1118¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Identifier
664¿Literal¿string¿1118¿¿'chalkline'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":30},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿Literal
665¿VariableDeclarator¿¿1118¿Table¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿VariableDeclarator
666¿CallExpression¿¿1118¿¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":34},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-v756-4whv-48vc/src/messenger-node.js"}¿¿CallExpression
